mol_id,status,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV,error,split
MOL_25482,success,-9.13148423,-8.36361442,0.76786981,,train
MOL_96382,success,-9.59291269,-7.82580998,1.76710271,,train
MOL_32801,success,-9.07835538,-8.35431737,0.72403801,,train
MOL_56195,success,-9.24826303,-8.2471451,1.00111793,,train
MOL_28769,success,-9.32261059,-8.12662061,1.19598998,,train
MOL_96149,success,-9.33492495,-8.16117357,1.17375138,,train
MOL_44486,success,-8.95671186,-8.54749918,0.40921268,,train
MOL_88333,success,-8.74009215,-8.73218839,0.00790376,,train
MOL_16198,success,-9.42094714,-8.03062051,1.39032663,,train
MOL_74260,success,-9.09162557,-8.43607975,0.65554582,,train
MOL_75702,success,-9.23830946,-8.2525934,0.98571606,,train
MOL_95026,success,-9.04823169,-8.44355985,0.60467184,,train
MOL_69862,success,-9.09501846,-8.25500446,0.840014,,train
MOL_78630,success,-8.83488658,-8.68236604,0.15252054,,train
MOL_38662,success,-9.26071917,-8.21456201,1.04615717,,train
MOL_45583,success,-8.9451104,-8.58890095,0.35620945,,train
MOL_29882,success,-9.26620123,-8.11136613,1.15483509,,train
MOL_90691,success,-9.21846737,-8.29918249,0.91928488,,train
MOL_34492,success,-9.05320016,-8.44793491,0.60526525,,train
MOL_00570,success,-9.45732102,-8.00434151,1.45297951,,train
MOL_91234,success,-9.18899954,-8.29959259,0.88940695,,train
MOL_93370,success,-9.32638646,-8.16526534,1.16112111,,train
MOL_84679,success,-9.29495606,-8.10830164,1.18665442,,train
MOL_85985,success,-9.24689966,-8.24383941,1.00306025,,train
MOL_92690,success,-9.32808453,-8.17471877,1.15336576,,train
MOL_49010,success,-9.27524152,-8.186176,1.08906552,,train
MOL_48562,success,-8.8033662,-8.73488262,0.06848359,,train
MOL_53115,success,-9.2756875,-8.20248433,1.07320317,,train
MOL_19517,success,-9.04069361,-8.49384541,0.5468482,,train
MOL_17802,success,-9.1205774,-8.37165353,0.74892387,,train
MOL_14207,success,-8.93839805,-8.55906268,0.37933537,,train
MOL_40842,success,-8.93871972,-8.51500671,0.423713,,train
MOL_10937,success,-9.32120871,-8.1346694,1.18653932,,train
MOL_05905,success,-8.94327438,-8.63320866,0.31006572,,train
MOL_21991,success,-9.21105412,-8.2596992,0.95135492,,train
MOL_23614,success,-9.07152236,-8.4769167,0.59460566,,train
MOL_39157,success,-9.37004453,-8.09188773,1.2781568,,train
MOL_52254,success,-9.3104017,-8.20119784,1.10920386,,train
MOL_09636,success,-9.0388818,-8.47082693,0.56805487,,train
MOL_78509,success,-9.44488339,-8.0180198,1.42686359,,train
MOL_66824,success,-9.08479907,-8.48298849,0.60181058,,train
MOL_08643,success,-8.92351748,-8.62462966,0.29888782,,train
MOL_62982,success,-9.11573387,-8.33561097,0.78012289,,train
MOL_30588,success,-9.02593836,-8.46143845,0.5644999,,train
MOL_66082,success,-9.22397929,-8.32240735,0.90157194,,train
MOL_03652,success,-8.90940423,-8.60613533,0.3032689,,train
MOL_87269,success,-9.35442365,-8.14514853,1.20927512,,train
MOL_64473,success,-9.43597707,-8.00015793,1.43581914,,train
MOL_69768,success,-9.02223452,-8.47333031,0.5489042,,train
MOL_02060,success,-9.44723452,-8.04854074,1.39869378,,train
MOL_28473,success,-9.19187669,-8.33779249,0.8540842,,train
MOL_05398,success,-9.01555284,-8.46351904,0.55203381,,train
MOL_91048,success,-9.13081496,-8.37763559,0.75317936,,train
MOL_76853,success,-9.27126693,-8.11008743,1.16117949,,train
MOL_17838,success,-8.79623663,-8.70765581,0.08858082,,train
MOL_49142,success,-9.08186569,-8.49631349,0.5855522,,train
MOL_48377,success,-8.76395675,-8.71535034,0.04860641,,train
MOL_76852,success,-9.05206706,-8.4619196,0.59014746,,train
MOL_71469,success,-9.23040659,-8.2755411,0.95486549,,train
MOL_23108,success,-9.2329838,-8.27920548,0.95377832,,train
MOL_47494,success,-9.4668233,-7.93279523,1.53402806,,train
MOL_92940,success,-9.32088338,-8.12163336,1.19925003,,train
MOL_92747,success,-9.20087021,-8.25066326,0.95020695,,train
MOL_04474,success,-9.22138467,-8.27774624,0.94363843,,train
MOL_56019,success,-9.30955691,-8.13732409,1.17223282,,train
MOL_42355,success,-9.13891972,-8.43830786,0.70061186,,train
MOL_08995,success,-9.17717851,-8.29438594,0.88279257,,train
MOL_40195,success,-9.3252933,-8.15021693,1.17507637,,train
MOL_70403,success,-9.32589081,-8.14246502,1.18342579,,train
MOL_78075,success,-9.1685483,-8.32010226,0.84844605,,train
MOL_07378,success,-8.88318496,-8.67481098,0.20837398,,train
MOL_78539,success,-9.19342402,-8.35484401,0.83858001,,train
MOL_54876,success,-8.96426176,-8.56339738,0.40086438,,train
MOL_43848,success,-9.14422568,-8.44149043,0.70273525,,train
MOL_46398,success,-9.39060968,-8.1399312,1.25067848,,train
MOL_43700,success,-9.14734622,-8.44957273,0.69777349,,train
MOL_71483,success,-9.13091582,-8.38128331,0.74963251,,train
MOL_07242,success,-9.15060622,-8.32285048,0.82775574,,train
MOL_07918,success,-9.43352899,-7.98294969,1.4505793,,train
MOL_56801,success,-9.32580633,-8.07699082,1.24881551,,train
MOL_95448,success,-9.30206501,-8.15000955,1.15205546,,train
MOL_47252,success,-9.46861959,-7.93233758,1.53628201,,train
MOL_25929,success,-8.81089935,-8.67245051,0.13844884,,train
MOL_47594,success,-8.78253633,-8.68544719,0.09708914,,train
MOL_99340,success,-9.40767446,-7.97719494,1.43047951,,train
MOL_09616,success,-9.03763581,-8.42578906,0.61184675,,train
MOL_66913,success,-9.3554187,-8.14488942,1.21052927,,train
MOL_81640,success,-9.38243681,-8.05649808,1.32593873,,train
MOL_02971,success,-9.26693982,-8.17758821,1.08935161,,train
MOL_88254,success,-8.97247834,-8.52497424,0.4475041,,train
MOL_94547,success,-9.07503581,-8.47760895,0.59742686,,train
MOL_04324,success,-9.14144922,-8.39796121,0.74348802,,train
MOL_14797,success,-9.15281726,-8.32923297,0.82358429,,train
MOL_08080,success,-9.21298821,-8.25239517,0.96059305,,train
MOL_73721,success,-9.09640103,-8.38708633,0.7093147,,train
MOL_73161,success,-9.11946867,-8.45126631,0.66820236,,train
MOL_40334,success,-9.11483356,-8.43533367,0.67949989,,train
MOL_23058,success,-9.32236808,-8.13001229,1.19235579,,train
MOL_59850,success,-9.24668175,-8.2631057,0.98357606,,train
MOL_92440,success,-8.95133827,-8.52673538,0.42460289,,train
MOL_19334,success,-9.27374121,-8.23257631,1.0411649,,train
MOL_45958,success,-9.38375242,-8.0945522,1.28920022,,train
MOL_51315,success,-9.35181804,-8.12670585,1.22511219,,train
MOL_41113,success,-9.16866914,-8.30070404,0.8679651,,train
MOL_14802,success,-9.24172304,-8.16108409,1.08063895,,train
MOL_03672,success,-9.16491306,-8.32196266,0.84295039,,train
MOL_29624,success,-9.07905163,-8.46035756,0.61869407,,train
MOL_54297,success,-9.47440827,-8.00486444,1.46954383,,train
MOL_51996,success,-8.82860929,-8.62681563,0.20179367,,train
MOL_01782,success,-9.03203274,-8.49455926,0.53747348,,train
MOL_29854,success,-9.31903823,-8.15331215,1.16572609,,train
MOL_32485,success,-9.16193779,-8.35199912,0.80993867,,train
MOL_22653,success,-9.3600998,-8.10205889,1.25804091,,train
MOL_41963,success,-8.98274967,-8.50744246,0.47530721,,train
MOL_93250,success,-9.09366114,-8.36910778,0.72455336,,train
MOL_05848,success,-8.98025026,-8.43610655,0.54414371,,train
MOL_71844,success,-8.99236289,-8.52442137,0.46794152,,train
MOL_35010,success,-9.31331042,-8.20580734,1.10750308,,train
MOL_44467,success,-9.07451207,-8.39037664,0.68413543,,train
MOL_03196,success,-8.96748867,-8.50587628,0.46161239,,train
